,Country/Region,variable,value
516,Russia,3/13/20,45
517,Singapore,3/13/20,200
518,US,3/13/20,2219
519,United Kingdom,3/13/20,2268
520,Australia,3/14/20,250
521,Canada,3/14/20,453
522,China,3/14/20,80977
523,Germany,3/14/20,3795
524,"Korea, South",3/14/20,8086
525,Malaysia,3/14/20,238
526,Russia,3/14/20,59
527,Singapore,3/14/20,212
528,US,3/14/20,2978
529,United Kingdom,3/14/20,2632
530,Australia,3/15/20,297
531,Canada,3/15/20,549
532,China,3/15/20,81003
533,Germany,3/15/20,4838
534,"Korea, South",3/15/20,8162
535,Malaysia,3/15/20,428
536,Russia,3/15/20,63
537,Singapore,3/15/20,226
538,US,3/15/20,3212
539,United Kingdom,3/15/20,3074
540,Australia,3/16/20,377
541,Canada,3/16/20,700
542,China,3/16/20,81033
543,Germany,3/16/20,6012
544,"Korea, South",3/16/20,8236
545,Malaysia,3/16/20,553
546,Russia,3/16/20,90
547,Singapore,3/16/20,243
548,US,3/16/20,4679
549,United Kingdom,3/16/20,3686
550,Australia,3/17/20,452
551,Canada,3/17/20,854
552,China,3/17/20,81058
553,Germany,3/17/20,7156
554,"Korea, South",3/17/20,8320
555,Malaysia,3/17/20,673
556,Russia,3/17/20,114
557,Singapore,3/17/20,266
558,US,3/17/20,6512
559,United Kingdom,3/17/20,4456
560,Australia,3/18/20,568
561,Canada,3/18/20,1097
562,China,3/18/20,81102
563,Germany,3/18/20,8198
564,"Korea, South",3/18/20,8413
565,Malaysia,3/18/20,790
566,Russia,3/18/20,147
567,Singapore,3/18/20,313
568,US,3/18/20,9169
569,United Kingdom,3/18/20,5462
570,Australia,3/19/20,681
571,Canada,3/19/20,1349
572,China,3/19/20,81156
573,Germany,3/19/20,10999
574,"Korea, South",3/19/20,8565
575,Malaysia,3/19/20,900
576,Russia,3/19/20,199
577,Singapore,3/19/20,345
578,US,3/19/20,13663
579,United Kingdom,3/19/20,6523
580,Australia,3/20/20,791
581,Canada,3/20/20,1692
582,China,3/20/20,81250
583,Germany,3/20/20,13957
584,"Korea, South",3/20/20,8652
585,Malaysia,3/20/20,1030
586,Russia,3/20/20,253
587,Singapore,3/20/20,385
